主机IP	域名	发包数	收包数	丢包数	丢包率	最小响应时间	最大响应时间	平均时间	TTL
162.158.133.8	162.158.133.8	1302	1300	2	0.15%	222	1225	229.99	53
162.158.133.10	162.158.133.10	1299	1296	3	0.23%	222	1155	229.91	53
162.158.133.221	162.158.133.221	1293	1290	3	0.23%	266	840	275.55	53
172.64.16.25	172.64.16.25	1287	1284	3	0.23%	239	3777	318.7	56
162.158.133.4	162.158.133.4	1303	1299	4	0.31%	222	1140	229.97	53
162.158.133.203	162.158.133.203	1295	1291	4	0.31%	266	1179	274.06	53
162.158.133.41	162.158.133.41	1295	1291	4	0.31%	266	694	274.44	53
162.158.133.125	162.158.133.125	1294	1290	4	0.31%	266	895	274.66	53
162.158.133.215	162.158.133.215	1297	1293	4	0.31%	267	1245	276.5	53
172.64.16.52	172.64.16.52	1289	1285	4	0.31%	237	3788	301.88	56
172.64.16.49	172.64.16.49	1285	1281	4	0.31%	219	3789	307.23	56
172.64.16.164	172.64.16.164	1285	1281	4	0.31%	236	3760	320.65	56
172.64.16.144	172.64.16.144	1284	1280	4	0.31%	218	3812	322.1	56
162.158.133.17	162.158.133.17	1299	1294	5	0.38%	266	1246	275.84	53
162.158.133.209	162.158.133.209	1293	1288	5	0.39%	264	1702	273.33	53
162.158.133.185	162.158.133.185	1291	1286	5	0.39%	224	1199	274.58	53
162.158.133.155	162.158.133.155	1293	1288	5	0.39%	267	677	275.43	53
162.158.133.77	162.158.133.77	1296	1291	5	0.39%	266	1177	275.77	53
162.158.133.173	162.158.133.173	1291	1286	5	0.39%	267	1198	276.37	53
172.64.16.99	172.64.16.99	1284	1279	5	0.39%	213	3789	307.27	56
172.64.16.168	172.64.16.168	1285	1280	5	0.39%	221	3190	311.12	56
172.64.16.69	172.64.16.69	1283	1278	5	0.39%	219	3777	314.67	56
172.64.16.56	172.64.16.56	1286	1281	5	0.39%	235	3763	320.18	56
172.64.16.101	172.64.16.101	1287	1282	5	0.39%	216	3777	322.13	56
172.64.16.165	172.64.16.165	1282	1277	5	0.39%	247	3445	326.9	56
162.158.133.22	162.158.133.22	1304	1298	6	0.46%	221	1173	229.09	53
162.158.133.167	162.158.133.167	1296	1290	6	0.46%	266	698	274.09	53
162.158.133.23	162.158.133.23	1293	1287	6	0.46%	266	962	275.56	53
162.158.133.161	162.158.133.161	1290	1284	6	0.47%	265	675	272.96	53
172.64.16.60	172.64.16.60	1289	1283	6	0.47%	227	3278	305.78	56
172.64.16.80	172.64.16.80	1286	1280	6	0.47%	217	3766	307.45	56
172.64.16.183	172.64.16.183	1284	1278	6	0.47%	223	3788	307.55	56
172.64.16.66	172.64.16.66	1285	1279	6	0.47%	225	3592	328.05	56
162.158.133.24	162.158.133.24	1300	1293	7	0.54%	223	836	230.9	53
162.158.133.197	162.158.133.197	1294	1287	7	0.54%	266	449	273.08	53
162.158.133.7	162.158.133.7	1297	1290	7	0.54%	266	628	274.2	53
162.158.133.149	162.158.133.149	1294	1287	7	0.54%	267	1267	276.71	53
172.64.16.93	172.64.16.93	1286	1279	7	0.54%	237	3375	302.86	56
172.64.16.251	172.64.16.251	1283	1276	7	0.55%	236	3211	306.7	56
172.64.16.8	172.64.16.8	1280	1273	7	0.55%	243	3449	333.47	56
